media_id,media_name,media_url
1,New York Times,http://nytimes.com
2,Washington Post,http://washingtonpost.com
4,USA Today,http://www.usatoday.com
6,LA Times,http://www.latimes.com/
7,The New York Post,http://www.nypost.com/
8,The Daily News New York,http://www.nydailynews.com/
14,San Francisco Chronicle,http://www.sfgate.com/
15,The Boston Globe,http://www.boston.com/bostonglobe/
314,The Huffington Post,http://www.huffingtonpost.com/
1089,Reuters,http://www.reuters.com/
1092,FOX News,http://www.foxnews.com/
1094,BBC,http://www.bbc.co.uk/?ok
1095,CNN,http://www.cnn.com/
1098,Newsweek ,http://www.newsweek.com/
1104,Forbes,http://www.forbes.com/
1149,MSNBC,http://www.msnbc.msn.com/
1150,Wall Street Journal,http://online.wsj.com/
1747,Daily Mail,http://www.dailymail.co.uk/home/index.html
1750,Daily Telegraph,http://www.telegraph.co.uk/
1751,Guardian,http://www.guardian.co.uk/
1752,CBS News,http://www.cbsnews.com/
4415,CNET,http://cnet.com
4418,Examiner.com,http://examiner.com
4419,TIME.com,http://time.com
